,employer,link,location,position_title,salary
41,QUESTRADE INC,http://ca.indeed.com/rc/clk?jk=b7c255d0ce361791&fccid=dd16cd5f7dbbced2&vjs=3,"Toronto, ON","Data Scientist, Advanced Analytics",
42,Gannett,http://ca.indeed.com/rc/clk?jk=93043fc73e0cfd85&fccid=1230acb7e56c6df5&vjs=3,"Toronto, ON",Data Scientist,
43,Mistplay,http://ca.indeed.com/rc/clk?jk=3307c2623088b5ec&fccid=dd616958bd9ddc12&vjs=3,"Montréal, QC",Data Scientist,
44,Oracle,http://ca.indeed.com/rc/clk?jk=b267e8aeff252c65&fccid=cd22d01053af7669&vjs=3,"Kitchener, ON",Data Scientist,
46,QuadReal,http://ca.indeed.com/rc/clk?jk=eefa70bfa123e2a3&fccid=4c0dd9bbeab79d21&vjs=3,"Toronto, ON","Intern, Data Scientist",
47,Overbond,http://ca.indeed.com/rc/clk?jk=c7a711b99c7f92d5&fccid=571991c776701fba&vjs=3,"Toronto, ON",Data Scientist,
48,ASSURANCE,http://ca.indeed.com/rc/clk?jk=94c4fe7af9489141&fccid=5434780ac3971e0d&vjs=3,"Toronto, ON",Data Scientist,
50,LeapGrad Corp.,http://ca.indeed.com/company/RatherME-Inc./jobs/Data-Science-Intern-951419f1dd08061d?fccid=0c87ce73104a1e6d&vjs=3,"Toronto, ON",Data Science Intern (New Grads) - Starts November 2020,
53,TC Transcontinental,http://ca.indeed.com/rc/clk?jk=3f0b023e5d7940d4&fccid=4e0bc64650e499bb&vjs=3,"Brampton, ON",Data Scientist,
54,PwC,http://ca.indeed.com/rc/clk?jk=153680a7be627d50&fccid=5e964c4afc56b180&vjs=3,"Toronto, ON","Analytics, Data Strategy, Data Management & Governance, Seni...",
55,Compass Digital Labs,http://ca.indeed.com/rc/clk?jk=6831948887ddfbef&fccid=b0e29160afa0f3ea&vjs=3,"Mississauga, ON",Data Scientist (Decision Science),
56,RBC,http://ca.indeed.com/rc/clk?jk=78d54d636cfd2ad0&fccid=537b899e30af3338&vjs=3,"Toronto, ON","Manager, Audit Data Analytics",
57,nugget.ai,http://ca.indeed.com/rc/clk?jk=5600df8062ed50db&fccid=9272fcc41fd6c68d&vjs=3,"Toronto, ON",Data Scientist,
58,Temetrix,http://ca.indeed.com/rc/clk?jk=1671413c2aaa3011&fccid=6b8274f384c00579&vjs=3,"Ottawa, ON",DATA SCIENTIST,
59,QQuote,http://ca.indeed.com/company/QQuote/jobs/Automotive-Software-Data-Analyst-09a5755c5cc12668?fccid=6eb1a7664337499f&vjs=3,"Toronto, ON",Automotive Software Data Analyst / Tester,"$40,000 - $50,000 a year"
61,Sioux Lookout First Nations Health Authority,http://ca.indeed.com/rc/clk?jk=1b7f0d64d0354ef2&fccid=545a4a9f500fa727&vjs=3,"Sioux Lookout, ON",Health Data Analyst – ACW,"$78,256 a year"
62,OGGN Inc.,http://ca.indeed.com/rc/clk?jk=614df948405acfe2&fccid=3b2bff59c759be85&vjs=3,Remote,Data Scientist (AI/ML),
63,Geotab,http://ca.indeed.com/rc/clk?jk=97fe05003fe3072d&fccid=31921a4bf53a6026&vjs=3,"Oakville, ON","Data Scientist, Video Analytics",
64,Fiddlehead,http://ca.indeed.com/rc/clk?jk=04460ba973e07880&fccid=acd193c30d4927aa&vjs=3,"Moncton, NB",Data Scientist,
65,Savormetrics Inc.,http://ca.indeed.com/company/Savormetrics-Inc./jobs/Machine-Learning-Engineer-f0e77aedeb1e6a15?fccid=60178c4d1333916e&vjs=3,"Mississauga, ON",Machine Learning Engineer,"$77,643 - $94,897 a year"
66,Canadian National Railway,http://ca.indeed.com/cmp/Canadian-National-Railway,,"Spécialiste, System Design, Data Scientist Machine Learning...",
67,Guestlogix,http://ca.indeed.com/rc/clk?jk=908a832217baa491&fccid=cb1dc55bc7b8a49f&vjs=3,Remote,Data Scientist,
68,Element AI,http://ca.indeed.com/rc/clk?jk=5ec974626cfe39c3&fccid=98c522aa9024c59e&vjs=3,"Toronto, ON","Chercheuse/Chercheur scientifique, recherche appliquée - Sér...",
