,employer,estimated_salary,link,location,position_title
214,Scotiabank,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/EqjHPMLtmc0YfDpCvw8cFL1wzZDoItO3W7JbrHn07oYzfHemVQ7xEQ?ak=data+science&l=,,Learn more about our Digital Analytics team!
215,ENERCARE,"Estimated: $83,000 - $110,000 a year",/jobsearch/viewjob/LTirgM4IgP0cFduUSOMLV3p8UvL_TEWVWtWMNm4rEnrI3A_1C010Cg?ak=data+science&l=,"— Markham, ON","Analytics Developer, Data Strategy & Operations"
216,Lightspark,"Estimated: $67,000 - $87,000 a year",/jobsearch/viewjob/BRF-Zqu3KCcecJByYwLugK_fFpHKbbML4jrKAFMmS8x7-5VL6ACUhQ?ak=data+science&l=,"— Vancouver, BC",Data Scientist
217,Creative Game Technologies,"Estimated: $39,000 - $52,000 a year",/jobsearch/viewjob/aYbJPn-o_KCsc2opEgb01Qrwtxc918plDP9ky73rzIHcsjezMn0shw?ak=data+science&l=,"— North York, ON",Casino Games Mathematician
218,Loblaw Digital,"Estimated: $71,000 - $99,000 a year",/jobsearch/viewjob/8MoWY5lCervqgb65sG24GkdPitoeRCGIMsg4ITIPBcUs1V5KOd3JKw?ak=data+science&l=,"— Toronto, ON",Senior Data Scientist
219,Insurance Bureau of Canada,"Estimated: $69,000 - $93,000 a year",/jobsearch/viewjob/o33xeX0LrYftZj1dtE3LlTEQX6vMo0zilb3r4DbT0CyEnWAO7Xd_7Q?ak=data+science&l=,"— Toronto, ON",Senior Systems Data Analyst
220,Sun Life Financial,"Estimated: $69,000 - $93,000 a year",/jobsearch/viewjob/9e2oyfpCCMdoKx8bl5g_Ynlvk84x74C9xEJ7K3yRzOg2ZCSfpOdULg?ak=data+science&l=,,Senior Data Scientist
221,Fiddlehead,"Estimated: $53,000 - $77,000 a year",/jobsearch/viewjob/hTCp4zl8Qni4r-RnpTKz_vHlGwCC3DnAZW7E5drpNB95-ML8b2h43w?ak=data+science&l=,"— Moncton, NB",Data Scientist
222,SickKids,"Estimated: $81,000 - $110,000 a year",/jobsearch/viewjob/mVd-T-hlLSvReCL5dLWOAb5XFRgQLMw222V5DLYOPDIllntNU-0RUQ?ak=data+science&l=,"— Toronto, ON",Senior Data Architect- Artificial Intelligence in Medicine for Kids
223,TELUS,"Estimated: $67,000 - $91,000 a year",/jobsearch/viewjob/rSJOUzNPxPInuck5nc-tYutwAVh5aFvbn7NhfH-O384gGhDfUXVXMw?ak=data+science&l=,"— Toronto, ON",Data Scientist - TELUS Digital
224,Deloitte,"Estimated: $84,000 - $120,000 a year",/jobsearch/viewjob/A0YKeKuAljaymBfKYEic8WYSWSpJccl1fSL5z8QgErkMFAZRnpU69Q?ak=data+science&l=,"— Toronto, ON","Azure Data Engineer, Omnia AI, Toronto"
225,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
226,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
227,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
228,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
229,Air Liquide,"Estimated: $51,000 - $72,000 a year",/jobsearch/viewjob/eigXYsWF8JOY3fYrn2-Vz3FUTwStyNC_kezruivW67mT-mRGYXtXew?ak=data+science&l=,"— Montréal, QC",Data Science Associate - Montreal
230,Roboeye,"Estimated: $80,000 - $110,000 a year",/jobsearch/viewjob/GbA36lZu6R4GEMRMCZfmR2K2dVGUHiqsOUBJxLLl9Y1Jj1nZbLgPnA?ak=data+science&l=,"— Toronto, ON",Research Engineer (Machine Learning and Computer Vision)
231,Profitable Software Inc.,"Estimated: $40,000 - $55,000 a year",/jobsearch/viewjob/IgyF07-7W4i-S1i7f3EZpvO1cb6SzjHIsIGh7fdxzZTDDwVrxM3k4Q?ak=data+science&l=,"— Vancouver, BC",Junior Data Scientist
232,Canadian National Railway,"Estimated: $82,000 - $100,000 a year",/jobsearch/viewjob/7FokQK0zWv0IsvSNWlPlUwQRN9hS78Ms181xa7L0jHF-1o0Fo-XeCA?ak=data+science&l=,"— Montréal, QC",Data Scientist
233,CGI,"Estimated: $84,000 - $120,000 a year",/jobsearch/viewjob/G9lXC0uwcdRMZNqdz2L8eXOp5D2lUGC22myvt9IMTVdAU43Uu3BylA?ak=data+science&l=,"— Ottawa, ON",Senior Data Scientist
234,Samsung Research America,"Estimated: $68,000 - $90,000 a year",/jobsearch/viewjob/XzYZW-7hiH1qX8ZCzBOjCGCmWNybfzuUw2NO0UGYFUvUiTD18G0rBQ?ak=data+science&l=,"— Toronto, ON","Research Scientist, Multi-Modal AI"
235,Loblaw Companies Limited,"Estimated: $68,000 - $90,000 a year",/jobsearch/viewjob/ojdLKTYS4oq2p5g1s6HuzTcg5GwSzsPOUJTQ2ox3UslAG6N7ZCZqMw?ak=data+science&l=,"— Brampton, ON",Data Scientist
236,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
237,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
238,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
239,Parkland Corporation,"Estimated: $78,000 - $100,000 a year",/jobsearch/viewjob/UVZxm3XDZVdawe5ZZ5Yj0hrzBKPDQwrFWo4wghff9HHfdGigABDYWg?ak=data+science&l=,"— Calgary, AB",Data Scientist
240,407 ETR,"Estimated: $64,000 - $89,000 a year",/jobsearch/viewjob/zqi-af5ZV3nSE-UGmgVLR65XD8kwTBajaL_Lh3NRn1HCgLXIo2qP_w?ak=data+science&l=,"— Woodbridge, ON",Sr Data Scientist
241,Deloitte,"Estimated: $75,000 - $110,000 a year",/jobsearch/viewjob/Uv4xzD3kJual4Rc1vTlSO83opFOq1SwC178AAWkpNPjwuDGN175qiA?ak=data+science&l=,"— Toronto, ON","Senior Consultant, Data Governance (Collibra), Omnia AI Toronto"
242,Thompson Rivers University,"Estimated: $48,000 - $65,000 a year",/jobsearch/viewjob/2iLE1z1mBjHdYtmsyt3LuEuKe8GNwtFBZafU1sDGzD_2kFRf9gZuEw?ak=data+science&l=,— Canada,Open Learning Faculty Member (Web) COMP 3711: Artificial Intelligence
243,PRA Health Sciences,"Estimated: $65,000 - $85,000 a year",/jobsearch/viewjob/pDOwubsy08w2qAOf1cpD231u_4GnHdgtCNy1RN27GTACZu_k8L99Qw?ak=data+science&l=,— Remote,Statistical Programmer 2
244,University of Ottawa,"Estimated: $57,000 - $72,000 a year",/jobsearch/viewjob/8xdLf4M-ez1MguULy9HP_KcfUKoFpCsTyN3PCqZVO076Oxq3VLCnCg?ak=data+science&l=,"— Ottawa, ON",Science - Mathematical Modelling in Health and Life Sciences
245,"Amazon Web Services Canada, In","Estimated: $57,000 - $72,000 a year",/jobsearch/viewjob/Q2wIEztp5_AVUIyTQdZmSzxfBLkWzyCiX-kaoZ5a_mCLUBG8DQQt8g?ak=data+science&l=,,Senior Data Scientist - AWS Professional Services
246,Reconnect Community Health Services,$17 an hour,/jobsearch/viewjob/kHWaWTWY8KAi7te5ZQyhR-Mllm_EjmwPHS8x-UGVxOj3ZquKNLXj7w?ak=data+science&l=,"— Toronto, ON",Decision Support Junior Analyst
247,Temetrix,"Estimated: $90,000 - $120,000 a year",/jobsearch/viewjob/jVPGxs2m9Z9oxgmTbG2oYQ90F44LZIeNetmvvad02rG3bYksgXnoqg?ak=data+science&l=,"— Ottawa, ON",SENIOR DATA SCIENTIST
248,Golder Associates,"Estimated: $70,000 - $93,000 a year",/jobsearch/viewjob/0NX5TPRvoIS0K9ueV_OO49Ci0aODk6sayfjpe4F7z2coVQQ6ZUJ3Xw?ak=data+science&l=,"— Kelowna, BC",Environmental Data Analyst
249,Boast.AI,"$80,000 - $110,000 a year",/jobsearch/viewjob/p_tXNrbjD1zc2gLST-SVosYP07w0DjIHxPJDRpFBPWoKIMx5L5Q-rg?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer
250,New World Interactive LLC,"Estimated: $53,000 - $71,000 a year",/jobsearch/viewjob/9Kv8sKWYR3nLYQk1NE7TFdRqfO3ocf_YCXlyaDjPDrNlFsH-oxvnfQ?ak=data+science&l=,"— Torrance, ON",AI Programmer
251,nugget.ai,"Estimated: $91,000 - $120,000 a year",/jobsearch/viewjob/gKl1udh5J_79fxvKNPleQPIu2Sad9QC8u8yaOQZ5mEBqPISYK1nyJQ?ak=data+science&l=,"— Toronto, ON",Senior Data Scientist
252,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
253,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
254,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
255,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
256,Ubisoft,"Estimated: $69,000 - $91,000 a year",/jobsearch/viewjob/YP3-XM63VNf_n9wFGMZ_5IHdZXJ2wkvGZg4ZtW-fB3ItcHBbw1vzlw?ak=data+science&l=,"— Toronto, ON",AI Programmer
257,Seaspan Ship Management Ltd.,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/RoRdNBANhBOuVbFiCMfZn_jX3MfuAUXXYayYx8mKIvgLsYy0OsHbvg?ak=data+science&l=,"— Vancouver, BC",Data Scientist
258,Adante Consulting,"Estimated: $60,000 - $81,000 a year",/jobsearch/viewjob/dJmc5pJxFL80weG3oiS_uzsWJTS7dkExXeAgiRq_RlEXjkLoqJFicg?ak=data+science&l=,"— Toronto, ON",BI Analyst
259,Kabam,"Estimated: $69,000 - $96,000 a year",/jobsearch/viewjob/40F1lKEFV00j_xaPv-R7xsSWxaKc7UXhuzh7IPzcHUE1mcYuZMUCgw?ak=data+science&l=,"— Vancouver, BC",Data Scientist
260,Tenstorrent,"Estimated: $89,000 - $120,000 a year",/jobsearch/viewjob/KhLzUO2RWQptFSiz7cMMIN9iiPOITbDGy5yI4UYm-EabtAXUVzpmPA?ak=data+science&l=,"— Toronto, ON","Software Engineer, Machine Learning Graph Compiler [Canada] - 2021 New Grads"
261,Qcom College of Technology,$20 - $22 an hour,/jobsearch/viewjob/WUVk8m_JomOTZnA6algGpsXD8LT8NxV72BxRPCBIztJf2ZOQ6QqWlA?ak=data+science&l=,"— Calgary, AB",Data & Analytical Science Instructor
262,EPAM Systems,"Estimated: $69,000 - $94,000 a year",/jobsearch/viewjob/XEvBGSIfys4CQRRRQTRIyLeDbnfnckKmHLBUce-lZTgJIBaT2uT12g?ak=data+science&l=,"— Toronto, ON",Big Data Technical Consultant
263,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
264,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
265,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
266,SOTI Inc.,"Estimated: $88,000 - $120,000 a year",/jobsearch/viewjob/84GjR5lJh-sxBwziwMLhNAs5dtMdH8JclplV7lvj9XqgbcXpQp5JWA?ak=data+science&l=,"— Mississauga, ON",Senior Data Scientist
267,Coursera,"Estimated: $84,000 - $110,000 a year",/jobsearch/viewjob/4ooHfAqzvAJxUrcnSBallu5r8Q71BwfSyUEp6xbqR-0pAVJFRHhueQ?ak=data+science&l=,"— Toronto, ON","Senior Data Scientist, Machine Learning"
268,Intact,"Estimated: $84,000 - $110,000 a year",/jobsearch/viewjob/g0WkM32ot0OxaoPPRzwYzSkRiUam4WRqbwGbcfEIW7kPclYhFlVitQ?ak=data+science&l=,,"Senior Data Scientist, Intact Lab"
269,Game Hive Corporation,"Estimated: $63,000 - $83,000 a year",/jobsearch/viewjob/FJUpI38_8Dbu1qmiSK0PqihOh-UutMoa-9Rd_EUjZ-QuWsoU-i7NPw?ak=data+science&l=,"— Toronto, ON",Game Mathematician
270,PwC,"Estimated: $71,000 - $90,000 a year",/jobsearch/viewjob/TeMrlmOJUbIUSIC-A09_4m57XBnG-gOWlSvMCNkMB-tydJZfs1cITw?ak=data+science&l=,"— Toronto, ON","Analytics, Data Strategy, Data Management & Governance, Senior Associate"
271,Bell Canada,"Estimated: $71,000 - $94,000 a year",/jobsearch/viewjob/AmnfYw56gUMS6PkqcACVp_srCorJqZW0FNGTBilaF89VRJw-9O3khA?ak=data+science&l=,"— Toronto, ON","Developer, Machine Learning Engineer"
272,Medlior Health Outcomes Research Ltd.,"$80,000 - $98,000 a year",/jobsearch/viewjob/2LORmnrPszb_fCSkIZjS61CfsKvJsO73OkyDh-9-IwUEXUWudDNyBw?ak=data+science&l=,"— Calgary, AB",Data Scientist
273,Cerebri AI,"Estimated: $88,000 - $130,000 a year",/jobsearch/viewjob/yO724fkWgOZyEdr6MnwHEEfv3ub9jCuLXTxzWruc-33nOpbiAJ8aGg?ak=data+science&l=,"— Toronto, ON",Senior Data Scientist/Manager
274,Micro Focus,"Estimated: $77,000 - $110,000 a year",/jobsearch/viewjob/nSM3jngbsTMwp81oQPb8CYodz2sC-dlRRxEEgRyw5sJBGafheM3aVg?ak=data+science&l=,"— Ottawa, ON",Big Data Engineer - Analytics
275,Lighthouse Labs,$30 - $50 an hour,/jobsearch/viewjob/2xRALlTqyP3QKiGQXJh1QoLmEjDMKm5v1l2MdNfnkdciYzZv774Qng?ak=data+science&l=,"— Vancouver, BC",Remote PT Data Science Mentor
276,VueReal,"Estimated: $64,000 - $91,000 a year",/jobsearch/viewjob/ctclCAIoUULbcQkGQfujEunIktXW8Unpk4pGTTjjUwWYFre8ebAPfA?ak=data+science&l=,"— Waterloo, ON",Computer Vision and Machine Learning Developer
277,Symend,"Estimated: $65,000 - $87,000 a year",/jobsearch/viewjob/jxfWbE3Vu2Vqv7X1_Zx5TZjtCCsspjRc1ZisRo3J_fon02AXAdsQrQ?ak=data+science&l=,"— Calgary, AB",Data Scientist
278,Interset,"Estimated: $90,000 - $110,000 a year",/jobsearch/viewjob/YhA5XF3aFsnqW4k6fM34kYKVno3wtzypIQiE3HL6MCN_TNo03z9gkA?ak=data+science&l=,"— Ottawa, ON",Big Data Engineer - Analytics
279,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
280,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
281,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
282,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
283,Microsoft,"Estimated: $39,000 - $53,000 a year",/jobsearch/viewjob/4r0FdF3c3B58-aW5nyDfG5PRnGd5h6TiMfurnz1z90ntMrW3xmGDIQ?ak=data+science&l=,"— Montréal, QC",Research Intern - Information and Data Sciences
284,Brizi,"Estimated: $71,000 - $100,000 a year",/jobsearch/viewjob/XUlhidP0oWi2zxFQOyI9BjW8pNcI-hdCPMBTVw7eGNmS9URK49wsmQ?ak=data+science&l=,"— Toronto, ON",Robotics/Computer Vision Engineer
285,Roche,"Estimated: $71,000 - $90,000 a year",/jobsearch/viewjob/cKTQszQd9-fct_ftlAT1sJfcXNMd4-AcTqpKX69Qy8xSUEuAod2qwQ?ak=data+science&l=,"— Mississauga, ON",Statistician (Text analytics and Natural language processing)
286,Deloitte,"Estimated: $96,000 - $140,000 a year",/jobsearch/viewjob/SXbRmxv_FK5X1deqSvvaCWYm8N2nBLQZEW5XUehy5LDJ-CEVCEV5Iw?ak=data+science&l=,"— Toronto, ON","Snowflake Data Architect / Manager, Omnia AI"
287,IMS Group,"Estimated: $72,000 - $100,000 a year",/jobsearch/viewjob/1oZG5fDXnWtWeKQrood0J0s1LYmq4e13CxNzx2mOL2M-JBgpPO5VlA?ak=data+science&l=,"— Toronto, ON",Project Statistician
288,Prenuvo Inc,"Estimated: $82,000 - $110,000 a year",/jobsearch/viewjob/hKkyNDFaxGVkxkhIaA2OJK8NNG3JS88rXaTvb0kSWn6nAlpjxPc1Sw?ak=data+science&l=,"— Vancouver, BC",Data Engineer - Machine Learning
289,Centro,"Estimated: $65,000 - $90,000 a year",/jobsearch/viewjob/4I6_y5LiSnMVz-SYBYHVlfwzIUKOSgeGOpG-xOvYDgAAq0CdBbwnrw?ak=data+science&l=,— Ontario,Business Intelligence Developer
290,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
291,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
292,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
293,Bioinformatics Solutions Inc.,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/cia3ISHHilqIVYoPgJsqNoIAD1otvl25Op7_v7TmFCBbARIBAN3S6w?ak=data+science&l=,,AI Research Engineer
294,Teck Resources Limited,"Estimated: $100,000 - $140,000 a year",/jobsearch/viewjob/5bMOWjmHBbisku1EH04qVqqhD9Ppy7NFXmCbBu3JFoFlGhdN39AFPg?ak=data+science&l=,"— Vancouver, BC",Data Scientist - RACE21
295,Concentrix,"Estimated: $58,000 - $80,000 a year",/jobsearch/viewjob/SkqVQqahdgiFon4Xi2KesMgEc81KlkPQ6o004XvIQQdprtsJtz8EPA?ak=data+science&l=,— Remote,"Analyst, Operational Performance Analytics"
296,Instacart,"Estimated: $36,000 - $53,000 a year",/jobsearch/viewjob/X6-Nk94PFpae0ea7qm_CdRtBfa1tHKZF2wV9QEd0oDrohvYXHVqMOw?ak=data+science&l=,"— Toronto, ON",Machine Learning - Ph.D. Internship
297,Sunnyfuture Group,"$60,000 a year",/jobsearch/viewjob/SYp7I5kAC7BBZ4Pflf4EDpKmRW30rVlezAfdv3TxUqmR21GbfzmlCw?ak=data+science&l=,"— Ottawa, ON",Data Analyst/Financial Analyst
298,Mistplay,"Estimated: $61,000 - $85,000 a year",/jobsearch/viewjob/-Hn7Uaq4ljf3bXbE85c1zpsVurr5c6Rx2JSPxB1RUYs95okL_SM7iw?ak=data+science&l=,"— Montréal, QC",Data Scientist
299,PERITUS.AI,"Estimated: $58,000 - $78,000 a year",/jobsearch/viewjob/1OH3j5mLJh-8MgZ4A8Y_CRDmUU4IeeRmZ5vEIZ_C9aWQlSsPnvw_PA?ak=data+science&l=,"— Montréal, QC",Data Scientist
300,AbCellera Biologics,"Estimated: $50,000 - $70,000 a year",/jobsearch/viewjob/flZOA_MZDXSR80mPiS8OQTsEM5rBZVyY1qDodKSgKEmmq1TWEdZJnA?ak=data+science&l=,"— Vancouver, BC",Data Scientist
301,ASSURANCE,"Estimated: $85,000 - $120,000 a year",/jobsearch/viewjob/ZAhvLfhZW48zk9ue-YlJsrlu-Cs-rfXQlKIKiM84oqT0mK5XwOQJgw?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer
302,Shaw Communications,"Estimated: $69,000 - $98,000 a year",/jobsearch/viewjob/G5HvhBUTG5-eZ6Pmau-3Nj0VvE5Sy_pQzziGLKZEcwCFgwdXQZip9A?ak=data+science&l=,"— Calgary, AB",Senior Data Analyst
303,CPP Investments,"Estimated: $97,000 - $130,000 a year",/jobsearch/viewjob/sg9QKdxXMjf9oALLAj40zwbCgJ1zE6mb6Kul2d4eNhRh2V2AJWgsFg?ak=data+science&l=,"— Toronto, ON","Lead, Data Architect (Big Data)"
304,Softvision,"Estimated: $77,000 - $95,000 a year",/jobsearch/viewjob/ZK2JHUJ6bCZC55tDFY_FR5ftCy_V4Q2OaY4gF9z9yjOVH--KneRjGw?ak=data+science&l=,"— Vancouver, BC",Data Scientist
305,Arrow Designs,"Estimated: $74,000 - $95,000 a year",/jobsearch/viewjob/Vl44c2Vu_Qfeh494105kSI-j5F_CKLudRyGPufiHsEmjE0Jfx_NjFw?ak=data+science&l=,"— Vancouver, BC",Data Scientist
306,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
307,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
308,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
309,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
310,Softvision - North America,"Estimated: $78,000 - $100,000 a year",/jobsearch/viewjob/6mTO7dJWpLUEmCE09Z336202QKj_bxO1xUpTtaOCsJ-abee9kE9egQ?ak=data+science&l=,"— Vancouver, BC",Data Scientist
311,Sunnyfuture Group,"$60,000 a year",/jobsearch/viewjob/T2CdKm8RDKx_AjFvkEk2uJVQVavDMR7_p_NxydWSZZpACC9uG2R9tA?ak=data+science&l=,"— Halifax, NS",Data Analyst/Financial Analyst
312,Primate Labs,"Estimated: $60,000 - $87,000 a year",/jobsearch/viewjob/1lplwo23z4DoVeJ3gtJ1Tg3LriaHYSA4WIAmsoEIOSftTYWbENDKdA?ak=data+science&l=,"— Toronto, ON",Machine Learning Software Developer
313,Guavus,"Estimated: $67,000 - $91,000 a year",/jobsearch/viewjob/4cBFP5ynEf9sOmqHLUCknL9DQosFRgrUNfmxrFMT30k1lEqbad0mcg?ak=data+science&l=,"— Montréal, QC",Data Scientist Intern
314,Wavo,"Estimated: $74,000 - $99,000 a year",/jobsearch/viewjob/b2dp87dr3L-5TFQ-HNSIflYTdsJLLePC05TXs9PSjJk8Lsh6nYC3XQ?ak=data+science&l=,— Remote,Machine Learning Engineer - MIP
315,AlphaLayer,"Estimated: $83,000 - $110,000 a year",/jobsearch/viewjob/PNtVkA8LJGxxthIaNu1ybroiWREoPRuTp4cOcDylGTrY3V4Am3FCBw?ak=data+science&l=,"— Edmonton, AB",Data Science Team Lead
316,RBC,"Estimated: $69,000 - $100,000 a year",/jobsearch/viewjob/wb_TtqNLhlLfA7SKDmwX121UTK8b4lTQsE1tKhrJlhfLVfHUZb-BSA?ak=data+science&l=,"— Toronto, ON","Manager, Audit Data Analytics"
317,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
318,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
319,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
320,Axiom Real-Time Metrics,"Estimated: $47,000 - $67,000 a year",/jobsearch/viewjob/yDBk_HtG0EllSk9WJP__gtqAUTfDpJQSKvQoPP_waVs5-m4JWhTk7Q?ak=data+science&l=,"— Toronto, ON",Bio-statistician - Toronto
321,Benevity,"Estimated: $120,000 - $160,000 a year",/jobsearch/viewjob/F0BAKY7L8wQ4b-FDCxzaLDu7la8t7ZqP2r7TzaHVE-MmP8s2ZPrnAw?ak=data+science&l=,"— Toronto, ON","VP, Analytics & Insights"
