,employer,estimated_salary,link,location,position_title
67,shopkick,"Estimated: $73,000 - $100,000 a year",/jobsearch/viewjob/eX7ES72a6F3kTp1vHmBT56LTyYoWJXAmf6qRvlJvwTgO4weRh50l6A?ak=data+science&l=,"— Toronto, ON",Data Scientist
68,Prodigy Game,"Estimated: $48,000 - $64,000 a year",/jobsearch/viewjob/Rsoz3ImdYqZ5T3g_Rj7sxUCbGgSqh0xIZQvIiSd7Tg5lYkd65YM6eA?ak=data+science&l=,"— Oakville, ON","Data Scientist, Sales & Customer Success"
69,Prodigy Game,"Estimated: $59,000 - $84,000 a year",/jobsearch/viewjob/n_naEqgV-dBpRZM4Jk4t84g3id7NQn6W1jEKxRjFlmyVJuVx1Vksiw?ak=data+science&l=,"— Oakville, ON","Data Engineer, Game"
70,Cofomo Inc.,"Estimated: $59,000 - $84,000 a year",/jobsearch/viewjob/EM8Liz7p7cXAYldVEAEAw8VhDrOGZRs4i9vEMpi45sCIeCPOcp2Waw?ak=data+science&l=,,Spécialiste en science de données
71,ASSURANCE,"Estimated: $85,000 - $110,000 a year",/jobsearch/viewjob/-MbrYIzOqlT1pRpEYLwB58BQvpJiZ8i6e1s8byYX28nAq0jBvaXO5A?ak=data+science&l=,"— Toronto, ON",Data Scientist
72,SOFTGAMES,"Estimated: $48,000 - $65,000 a year",/jobsearch/viewjob/QqByo09p-m2kKHcUBblIwLXlqjnCim1_U_z0agW696DV7kMFhAP-uA?ak=data+science&l=,— Remote,Game Data Analyst
73,Veeva Systems,"Estimated: $67,000 - $95,000 a year",/jobsearch/viewjob/kb0g79YjFZYjIIuuBcwSwFncDN3uRshL2ERROGIs008t2b2yAhhRqQ?ak=data+science&l=,"— Toronto, ON",Data Scientist (Remote)
74,SomaDetect,"Estimated: $71,000 - $97,000 a year",/jobsearch/viewjob/MpwtvUt8l9L3864S9fDpIrJzZnCHrBGgmeulU30JCiAug9D0Q19-KA?ak=data+science&l=,"— Toronto, ON",Data Science Team Manager
75,Zynga,"Estimated: $56,000 - $73,000 a year",/jobsearch/viewjob/qYm5emr_ZZlZ22FaZIjkBBa4OY9sKe6FOweDoF9g466bgKAeaWTRFQ?ak=data+science&l=,"— Toronto, ON",Data Analyst II
76,SevOne,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/V1i_7_mKGzzX9qoTDEYUz_EujuTV7dhCAlPn0K2BHToTdU7JVVdm2w?ak=data+science&l=,— Remote,Senior Data Scientist
